## Sheet: Sheet1
Observation | W | verse | Additional notes
after saying these things | when | John 18:1 | these events happened right after Jesus prayer from the previous chapter
Jesus | who | John 18:1 | Son of God, Promised Messiah, Savior of the World, Light of the World, 2nd Member of the Trinity
Kidron Valley | where | John 18:1 | on the east side of Jerusalem is a deep ravine that has the Mount of Olives on the other side
Judas (the betrayer) | who | John 18:2 | once an original disciple, Judas the treasurer of the group betrays Jesus for 30 pieces of silver
knew this place | what | John 18:2 | Judas had experience there, because Jesus had gone there before with His disciples 
Leading priests | who | John 18:3 | had to be from the line of Aaron. Moses, Aaron, and Miram were all from Levi, but only Aaron's descendants were priests
Pharisees  | who | John 18:3 | Pharisees and Saducees made up the sanhedron Jewish ruling council, they were known as legalistic and zealous
Roman soliders | who | John 18:3 | Roman soliders were exactly that, men of Rome, not Jewish or part of the Jewish law
Temple Guards | who | John 18:3 | Temple guards were Jews who accepted the responsibility of working as an armed force in and for the Temple
torches & lanterns | what | John 18:3 | how interestin that when they come to arrest the Light of the World, they bring their own insufficient light
Jesus fully realized  | what | John 18:4 | Jesus knew what was going on, because He had already known that this and what comes after was going to happen
Who are you looking for?  | what | John 18:4 | Jesus stepped forward to meet His enemy and in effect prepared for his disciples release
Jesus the Nazarene | who | John 18:5 | Jesus was from Nazareth to fulfill prophecy, "He will be called a Nazarene?" Matt 2:22
I am (he) | who | John 18:5 | Jesus is intentionally using the name of God recognizing Himself as the Messiah, Son of God
Judas was standing with them | what | John 18:5  | Judas, having changed sides, is now standing not behind Jesus, but in opposition to Him
all drew back and fell to the ground | what | John 18:6 | The men fell in response to the power of God verbalizing His own name among mortal men
let the others go | what | John 18:8 | Jesus purchases the freedom and release of His disciples by offering Himself up willingly to the crowd
I did not loose a single one | what | John 18:9 | Jesus fulfills His own words by procurring release for His own disciples 
Simon Peter | who | John 18:10 | One of the first called disciples, brother of Andrew, a fishermen by trade, only disciple to walk on water
drews his sword… sliced off an ear | what | John 18:10 | Peter was the ADHD disciple and jumped out in front to try and make things better
shall I not drink of the cup | what | John 18:11 | Jesus knew that it was not these men He was submiting to, it was the Lord and He was bound to His Father's will
Soliders, Officer, Temple Guards | who | John 18:12 | BOTH Jew and Gentile arrested Jesus in order to bring Him in for questioning
Annas | who | John 18:13 | former High Priest from AD6 - 15 before Caiaphas. Caiaphas is the son-in-law of Annas 
It is better that one man die… | what | John 18:14 | this was a prophecy about the coming death of Jesus and the resolution that would come out of it. 
John (the disciple)  | who | John 18:15 | "the other disciple" James & John were sons of Zebedee a wealthy man 
let Peter in… | what | John 18:16 | John arranged for Peter's entrance into the high priest's courtyard
You're not one of them…? | what | John 18:17 | Her question is phrased to anticipate a negative answer, which was more of a temptation to deny Christ
No, I am not | what | John 18:18 | Peter's outright denial stands in contrast to his recognition of Jesus "You are the Son of God" Matt 16:16
what he had been teaching them | what | John 18:19 | the High Priests concern was the purity of doctrine, not the purity of heart, a problem we still have today
I have not spoken in secret | what | John 18:20 | Jesus had not kept His teachings private, but was now being questioned as an enemy
slapped across the face | what | John 18:22 | This was the first physical abuse that Jesus suffered during His passion week
Is this the way you answer…? | what | John 18:22 | the guard clearly saw Annas (temporary high priest) as greater than Jesus (eternal high priest) 
the immediately a rooster crowed | what  | John 18:27 | Jesus told Peter that he would deny Him three times only days ago, this was now fulfilled

## Sheet: Sheet2

## Sheet: Sheet3
