## Sheet: Sheet1
Observation | W | verse | Additional notes
Jacob  | who  | Gen 33:1 | the son of Isaac, grandson of Abraham, the son of Promise who has the Covanent relationship with God 
Esau | who  | Gen 33:1 | also the son of Isaac, decieved by his brother Jacob into the loss of his brithright
400 men | who  | Gen 33:1 | at the outset of this chapter, we are left thinking this is a war party coming to exact revenge. They are apparently of a military
 |  |  | nature as Easu offers to leave them to protect Jacob. (Gen 33:15)
servant wives | who | Gen 33:2 | Bilhah & Zilpah the maidservants of Rachel & Leah given to Jacob as wives to progate more children
Rachel & Leah | who | Gen 33:2 | the daughters of Laban whom Jacob worked for to earn as wives
order of families | what | Gen 33:2 | it is clear by the order of ranking that Jacob loved Rachel and Joseph more, being last meant more protection
bowed to the ground | what | Gen 33:3 | a common greeting of respect and submission, by bowing Jacob is recognizing Easu's higher ranking than his own
Esau embraced him | what | Gen 33:4 | in contrast the fight Jacob was expecting, Esau embraces him in a loving not waring manner
who are these people | what | Gen 33:5 | Esau and Jacob have been apart for at least 20 years. He has no real expectation that this is all Jacob's family 
a gift… ensure your friendship | what | Gen 33:8 | Jacob does not conceal the true intent of his gifts, he speaks plainly about the bribe to his brother
I have plenty | what | Gen 33:9 | Easu has aparently done well for himself. He doesn't have need of Jacob's stuff. It's also a custom to deny a gift the first time
please accept this gift | what | Gen 33:10 | it is a mid-eastern custom to accept the terms of a gift when one accept the gift itself
young children / flocks | what | Gen 33:13 | Jacob isn't going back to Edom, the area that Easu lives in, God instructed him to go to Canaan, the promised land
I will meet you at Sier | where | Gen 33:14 | whether this is an outright lie, or an understanding between brothers in unclear, in either way, Jacob doesn’t go here
some of my men to protect you | what | Gen 33:15 | clearly, Easu thought that Jacob could be in danger, but Jacob had been promised by God, Esau doesn't know this
Shechem | where | Gen 33:18 | not quite all the way to Canaan, Jacob stops in the sample place that Abraham stopped and worshiped God (Gen 12:6-7)
El-Elohe-Israel | what | Gen 33:20 | Jacob follow through on his promise (Gen 28:20-22) and his relationship with Jehovah becomes personal (The God of Israel)

## Sheet: Sheet2

## Sheet: Sheet3
