## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details  | 
five days later | when | Acts 24:1 | Paul now waits five days in Caesarea for the Jewish authorities, his accusers to arrive  | 
high priest, elders, Tertullus | who | Acts 24:1 | the passion by which the Jews wanted to proscute Paul is seen in the "big guns" that come out to participate in his  | 
 |  |  | prosecution. The High Priest of the nation, leading members of the Sanhedrin, and a hired laywer named Tertullus | 
a long period of peace | what | Acts 24:2-4 | Tertullus begins his remarks with flattery in an attempt to win Felix's favor in the case. Stretching the truth a little | 
 |  |  | Felix did keep the peace, but in a very brutal way. In fact, anti-Roman sentiment amoung Jews rose during his rule | 
Accusation against Paul  | what | Acts 24:5-6 | the accusation against Paul contains three distinct elements, each crafted in order to make Paul look worse to Felix | 
 |  |  |      1. this man is a troublemaker | 
 |  |  |                  The literal term used here is actually "plague" meaning Paul is an insurrectionist stirring up other people | 
 |  |  |      2. a ringleader of the Nazerene Sect  | 
 |  |  |                  Under Roman law, Judaism was  legal religion, however Tertullus tries to make Christianity appear as illegal  | 
 |  |  |                  by referring to it as a "sect" with an obscure name that Felix wouldn't have recognized.  | 
 |  |  |      3. descrates the temple  |   
 |  |  |                  this final part of the accusation separates Paul from Judaism, but also tries to put him at odds with the Temple | 
accusation against Lysias  | what | Acts 24:6b-7 | only certain manuscripts contain the accusation against Lysias. This creates an interesting situation for us to observe | 
 |  |  | if the text here is genuine, then the statement "examine HIM yourself" would apply to Lysias, not Paul  | 
 |  |  | if the text is not genuine, then the request for examination would be directed at Paul and not Lysias.  | 
 |  |  | ultimately, this does not change the overall meaning of the text, however it may be a scribal addition to the text | 
other jews joined in  | who | Acts 24:9 | regardless of the the validity of verse 7, the entire group of Jews stand against Paul in these accusations  | 
Paul's defense before Felix | what | Acts 24:9 | Paul begins his defense with facts, not flattery. Felix has been the governor and is justly able to hear the case  | 
you can easily verify  | what | Acts 24:10-12 | Paul keeps his defense based in evidence with the facts of his visit to Jersusalem & worshipping peacefully in the Temple  | 
they can not prove  | what | Acts 24:13 | after establishing the truth of his defense is verifyable, Paul then turns the accusation around claiming his accusors  | 
 |  |  | have no proof for their staements, unlike himself | 
however, I admit… | what | Acts 24:14-16 | Paul admits several things about himself to Felix | 
 |  |  |      1. I worship the God of our ancestors | 
 |  |  |            Here Paul refutes the claim that he is "anti-Jew" by illustrating his worship in line with Jewish tradition | 
 |  |  |      2. as a follower of the way, which they call a sect | 
 |  |  |            Paul informs Felix that following Jesus is part of Judaism, not outside of it, thus it is a legal religion | 
   |  |  |      3. I believe everything… as these men | 
 |  |  |            Paul shows his beliefs are the same, thus illustrating the dispute here is of religious and not civil law | 
Paul's activity in Jerusalem | what | Acts 24:17-21 | after establishes who he is to Felix, he then details his visit to Jerusalem. This includes the offering he collected from  | 
 |  |  | the gentile churches for the poor in Jerusalem, his becoming ceremonially clean before worshiping, the lack of any crowd | 
 |  |  | or disturbance caused by him (the Jews conviently leave out their mob violence), and the curious lack of the real  | 
 |  |  | instagators, the Jews from Asia who started the first riot in the Temple (Acts 21:27) | 
the resurrection of the dead | what | Acts 24:21 | Paul brings his defense to a close centered on the resurrection of the dead, a clear gospel witness  | 
when Lysias comes | when | Acts 24:22 | Felix opts to wait for Commander Lysias to arrive to better explain the details of the accusation and defense. This may | 
 |  |  | also give credence to the text in 6b-7 being authentic, however it is not difinitive by itself.  | 
several days later | when | Acts 24:24 | Felix has several days to wait for Lysias to arrive, so he includes his Jewish wife Drusilla, the daughter of Herod Agrippa I | 
 |  |  | the same Herod who is mentioned in Acts 12:1 having killed James and tried to kill Peter. Because of her nominal Jewish | 
 |  |  | heritage, she would have been able to help Felix understand the religious nature of the accusations | 
Felix's fearful response | what | Acts 24:24-25 | Paul spoke of righteousness, self-control, and coming judgment. Three things that would easily lend themselves to  | 
 |  |  | presenting the Gospel to a Roman mind. Felix's response is fear as he is gripped with the reality of his own sin  | 
sent for him frequently  | what | Acts 24:26 | beause of Felix's greed in wanting a brible, Paul was given the chance to speak privately with the governor many times | 
two years passed  | what | Acts 24:27 | Paul held under guard for two years with some freedoms, but Felix left Paul in prison as a last favor to the Jews  | 

## Sheet: Sheet2

## Sheet: Sheet3
