## Sheet: Sheet1
Observation | W | verse | Additional notes | 
Israel (Jacob)  | who | Gen 46:1 | the final the three "partriarchs" of the Hebrew faith, son of Isaac and father of the 12 tribes  | 
Beersheba | where | Gen 46:1 | where Abimelech and Phicol made their treaty with Abraham (21:22-31),      Abraham worshipped the Lord (21:32-33) | 
 |  |  | The Lord appeared and confirmed the Abrahamic Covanent to him (26:23-24),    Isaac worshpped the Lord (26:25) | 
 |  |  | leaving Beersheba, Jacob had the "ladder dream" in which God confirmed his covanent to him (28:10-15) | 
 |  |  | leaving Beersheba, Jacob worshiped the Lord (28:16-18 and 46:1) | 
 |  |  | unlike Abraham, who fleeing a famine went straight to Egypt (12:10), Jacob stopped to worship God first | 
God spoke to him in a vision | what | Gen 46:2 | Jacob had heard from God in a the "ladder dream" and knew to heed the Lord's direction, the theme of faith to follow |  
don't be afraid… great nation | what | Gen 46:3 | the reason Jacob had nothing to fear from Egypt was because of God's covanent with His people | 
I will go with you  | what | Gen 46:4 | despite all the "God moving" at Beersheba, it was His people, not the place that God travelled with | 
you will die, but Joseph | what | Gen 46:4 | Jacob already feared death from the famine (42:2) and loosing Benjamin (44:34) "But Joseph" made it all worth while | 
70 members of Jacob's family | who | Gen 46:27 | this humble family became 603,550 men of fighting age (over 20) by the time of the Exodus (Num 1:22-46) | 
 |  |  | The MacArthur commentary states the Hebews went in Egypt in 1875 BC and left in 1445 BC, a span of 430 years | 
Judah | who | Gen 46:28 | the fourth in line of birth order (46:12), the line from which the Messiah would come, continues to take a leading  | 
 |  |  | role in the story of salvation at this point in Biblical history  | 
Goshen | where | Gen 46:28 | the place that Joseph had selected for his family to live "near him" (45:10) | 
Egyptians despise shepherds | what | Gen 46:34 | Joseph uses known cultural stigmas to accomplish his will of getting his family to live near him in Goshen (43:32) | 
 |  |  | Joseph aslo accomplishes God's will of placing His chosen people in an "egyptian incubator" of sorts where they are  | 
 |  |  | protected and provided for by Egypt's mighty power and the Father's sovereign blessing | 

## Sheet: Sheet2

## Sheet: Sheet3
