## Sheet: Sheet1
Observation | W | verse | Additional notes
Jesus | who | John 3:22 | Son of God, 2nd member of the Trinity, Messiah, Savior of the World
Jerusalem | where | John 3:22 | The city of David, home to the Temple, central city of the Jewish faith
Judea (judean)  | where | John 3:22 | a greek-roman name for the southern area of the homeland of Isreal
baptizing | what | John 3:22 | the ritual submersion of an individual underwater for the symboilc spiritual cleansing
John the Baptist | who | John 3:23 | the man "sent ahead" of Jesus, his cousin, who told people of the coming Messiah
Aenon | where | John 3:23 | small villiage or town in northern Judea
Salim | where | John 3:23 | small villiage or town in northern Judea
prison | where | John 3:24 | John is jailed and eventually killed by Herod Antipas at the behest of his daughter for his wife
debate | what | John 3:25 | G2214, literally a question, inquiry or seeking. Not necessarily a heated disagreement or argument
John's disciples | who | John 3:25 | the unnamed disciples that were still following John the Baptist
certain Jew or some Jews | who | John 3:25 | ceremonial cleansing or possibly baptism, the debate is unclear, but it was obvious with John the Baptist's ministry
Rabbi | who | John 3:26 | G4461 literally "my great one" a sign of not only position as teacher but also a sign of respect
the man you met | who | John 3:26 | referring to Jesus Christ
one you identified | who | John 3:26 | John the Baptist first idenfitied Jesus as the Messiah in John 1:29
God | who | John 3:27 | God the Heavenly Father, Creator, 1st member of the Trinity
heaven | where | John 3:27 | the home of God the Father
you yourselves | who | John 3:28 | John the Baptist speaking to his unnamed disciples
Messiah | who | John 3:28 | the promised Messiah from the Old Testament that would be the ultimate salvation of the Jewish People
bridegroom / bride | who | John 3:29 | John is not speaking of Jesus being the "groom" to the church, but rather the importance of Jesus over himself
we | who | John 3:31 | we referring not to just the Jews, but to the whole of humanity
earthly/ heavenly things | what | John 3:31 | because are corporal beings, we only have the abiltiy to speak of what we know, as we grasp for heavenly things
testifies | what | John 3:32 | G3140 literally as a witness testifies in a legal sense, also the root for our word Martyr
Spirit | who | John 3:34 | The Holy Spirit, thrid member of the Trinity also the power & presence of God that lives within all believers
eternal life | what | John 3:36 | the promise of a resurrected life after our earthly one is over

## Sheet: Sheet2

## Sheet: Sheet3
