## Sheet: Sheet1
Observation | W | verse | Additional notes
When everything was ready | when | Gen 7:1 | God waiting for the savlation to be available before bringing the judgement of the rain
The Lord | who | Gen 7:1 | God, the eternal Father in Heaven, Creator of the world, 1st Member of the Trinity, final Judge of all creation 
Noah | who | Gen 7:1 | the son of Lamech, walked blamelessly with God, Father of Shem, Ham, & Japheth, a foreshadow of the Messiah
The Boat / The Ark | what | Gen 7:1 | the vessel of salvation Noah was instructed to build by God Himself
Your Family  | who | Gen 7:1 | Noah & his wife, Shem & his wife, Ham & his wife, Japheth & his wife
all the people | who | Gen 7:1 | the rest of humanity on the earth at the time
you alone are righteous | what | Gen 7:1 | human depravity had risen to such a level that all but Noah had abandoned their desire to follow or worship God
7 pairs of each animal | what | Gen 7:2 | these are in addition to the pair of each that was selected to continue the species
eating & for sacrifice | what | Gen 7:2 | in the origianl language it says "clean animal" this is because only clean animals could be eaten and sacrificed
clean & unclean animals | what | Gen 7:2 | even without a written law, Noah somehow knew what animals were considered clean/unclean in the Lord's eyes
Seven days from now | when | Gen 7:4  | Noah and company were on the Ark for 7 days BEFORE the flood began
until I have wiped… | when | Gen 7:4  | the Lord did not relent his judgement until the full justice of it had been 
So Noah did everything… | what | Gen 7:5  | obedience is BIG part of salvation, even in the face of sillyness, Noah obeyed the Lord in ALL THINGS
Noah was 600 years | when | Gen 7:6 | when the flood began
17th day of the 2nd month | when | Gen 7:11 | when the flood began
underground waters | what | Gen 7:11 | the water came up from the ground as well as from the sky
40 days | what | Gen 7:17 | this sets the state for times of "spiritual preparation" Isrealites 40 year wanderings, Jesus 40 day fasting
waters rose… boat floated | what | Gen 7:17 | as the level of severity/calamity rose, so did the Lord's design for salvation as He intended
every living thing | what | Gen 7:23 | God pronouced judgement on all that Adam had dominon over. 
150 days  | when | Gen 7:24 | the length of time that the flood waters covered the earth

## Sheet: Sheet2

## Sheet: Sheet3
